id,Baggage_handling,Online_boarding,On-board_service,Flight_Distance,Customer_Type,Seat_comfort,Departure/Arrival_time_convenient,Checkin_service,Arrival_Delay_in_Minutes,Class,Gender,Age,Online_support,Inflight_entertainment,id,Food_and_drink,Type_of_Travel,Ease_of_Online_booking,Inflight_wifi_service,Leg_room_service,satisfaction,Gate_location,Cleanliness,Departure_Delay_in_Minutes,shapley_spaces_2,shapley_spaces_3,shapley_spaces_1,seat_confort_4,shapley_spaces_4,shapley_spaces_0,prediction,confidence
003a1bb0-01d3-4d8c-9921-1f158265c8ae,4,5,3,1449,"Loyal Customer",3,4,3,0.0,"Eco","Male",57,2,3,"800a22a9-4fe3-4843-bf62-1b705b4919bb",3,"Personal Travel",5,5,3,0,2,5,0,,,,,,,0,1.0
003e0111-6ecc-450a-bba2-5b60ad61ca49,4,5,5,1196,"Loyal Customer",5,4,1,nan,"Eco Plus","Female",37,5,5,"83a950e6-ce47-4ea4-8bbe-d43864d2366d",1,"Business travel",5,5,3,1,1,2,14,,,,,,,1,1.0
003f6385-9728-4a00-8f91-7c85765718bb,5,2,5,441,"Loyal Customer",5,3,4,0.0,"Eco","Female",44,4,1,"8aaf34f4-c6e6-4313-b567-4ed3b105fcef",2,"Business travel",5,1,5,1,3,5,0,,,,,,,1,1.0
00412d5f-5a44-4e91-96b4-8b64839025ab,3,2,3,357,"Loyal Customer",3,5,1,0.0,"Business","Male",56,3,3,"0febb599-09b8-483a-906c-d93ee997a298",3,"Business travel",3,2,3,0,5,3,0,,,,,,,0,0.99
004404d1-657f-414e-a96d-f791ad1a0c1c,3,4,3,1660,"disloyal Customer",3,1,3,0.0,"Business","Female",23,4,2,"cb5ea715-c177-4404-8d4f-efdf87515e78",2,"Business travel",4,4,3,0,4,3,0,,,,,,,0,1.0
0047362b-1ba8-4678-bf7b-9ab825559cff,4,5,3,3950,"disloyal Customer",2,3,1,28.0,"Eco","Female",22,5,2,"ee1a33ce-f5f4-4066-89ed-e3155c82cb3b",3,"Business travel",5,5,4,0,4,4,14,,,,,,,0,1.0
00478794-ae21-457e-bd84-1e71db8b58ae,5,5,3,1264,"disloyal Customer",3,3,4,0.0,"Business","Female",39,5,3,"8ff188bb-e5f0-4952-a0d6-0e4c36040cd0",3,"Business travel",5,5,4,0,3,4,0,,,,,,,0,0.96
005062ba-8c52-4bff-937e-aa9babe78121,1,3,4,2230,"Loyal Customer",4,5,3,10.0,"Eco","Female",41,3,4,"1029917b-41a0-4f76-bceb-876d21c71b63",5,"Business travel",3,3,1,1,5,1,0,,,,,,,0,0.64
00521c4c-0558-430e-af7c-681b045ad942,5,4,5,2644,"Loyal Customer",1,1,4,0.0,"Business","Female",49,5,5,"5d21bff7-3372-46f6-934d-794617faaf33",1,"Business travel",5,3,5,1,1,5,0,,,,,,,1,1.0
0052efd5-ae88-4294-8575-5f4c63321482,4,5,4,1668,"Loyal Customer",4,1,4,0.0,"Eco","Female",29,3,5,"17d9d878-8f56-4439-b264-4dd71fc03149",1,"Personal Travel",4,3,4,1,1,4,0,,,,,,,1,0.99
0059cce1-39ec-4661-9d6b-3a517d6dc637,5,3,5,1730,"Loyal Customer",1,1,4,1.0,"Business","Male",39,5,3,"0f49e71a-2db4-47e0-8535-f0d5fed4c358",1,"Business travel",5,2,5,1,1,5,2,,,,,,,1,1.0
005bfbff-f5c6-4ee8-8251-38aa903f2cf1,4,3,4,3734,"Loyal Customer",1,1,5,0.0,"Business","Female",56,5,4,"3a024700-7f03-4b23-8c5d-00e9a9f44996",1,"Business travel",4,3,4,1,1,4,0,,,,,,,1,1.0
0061f55f-12e2-41a4-97ad-d41bbbcfa6dd,5,4,5,3305,"Loyal Customer",4,4,3,85.0,"Eco","Female",27,5,4,"88eda3c5-70de-4d76-a491-1d2f942ed373",3,"Personal Travel",5,4,5,1,4,5,97,,,,,,,1,0.98
00662e13-c479-4098-8d5a-9230758a0469,4,2,2,2202,"Loyal Customer",1,4,2,0.0,"Eco","Male",9,5,1,"9a22ddb4-0456-467b-84cf-566ec09a63a6",1,"Personal Travel",2,2,1,0,3,3,13,,,,,,,0,1.0
00676320-749f-4f00-bace-c405bc55f0d4,3,4,4,3583,"Loyal Customer",5,5,5,5.0,"Business","Male",30,4,4,"ec49cc70-4170-4777-99c1-4014a8bd95c9",5,"Business travel",4,4,3,1,5,4,0,,,,,,,1,1.0
006b43bc-08d1-41ca-84c9-e68616e1cb49,5,4,5,3141,"Loyal Customer",1,1,5,0.0,"Business","Female",59,5,4,"05e2652d-34f3-460c-9668-ef5323b891d1",1,"Business travel",5,5,5,1,1,5,0,,,,,,,1,1.0
006ee720-677b-48db-a36a-e5e3241e93ad,4,5,3,4842,"Loyal Customer",2,4,5,5.0,"Business","Female",16,5,5,"9ccef544-02d4-4a11-b9f9-1b945f06e74c",2,"Business travel",5,5,4,1,2,5,0,,,,,,,1,1.0
00735f65-c362-4f0a-9d4d-45982126fe2b,5,3,5,303,"Loyal Customer",4,1,3,0.0,"Eco","Female",43,5,5,"97aac2d3-74f4-4339-a8a0-40619c10a899",4,"Personal Travel",5,3,5,1,4,5,0,,,,,,,1,0.98
00771967-47f0-4015-b0aa-7aa5554af72b,4,3,4,2202,"Loyal Customer",4,5,3,153.0,"Eco","Male",49,3,3,"5b7c6961-5407-4a31-b860-66684cfefdbe",4,"Personal Travel",4,4,4,0,2,5,152,,,,,,,0,0.97
0078aca8-0ace-4a70-848f-fb00e8c24cee,4,3,4,1312,"Loyal Customer",5,5,5,0.0,"Eco","Male",47,4,5,"21fa4fac-1ce0-4b15-8466-7c1a7fc3f55d",5,"Personal Travel",3,3,4,1,2,5,0,,,,,,,1,1.0
00794193-1f87-4c88-809f-084ea79bc251,4,3,3,3431,"Loyal Customer",3,5,3,278.0,"Business","Male",43,3,3,"03ba1d4b-e2c0-4d14-a9f4-c3a93faf2993",5,"Business travel",1,3,3,0,5,3,242,,,,,,,0,0.99
0082fcd2-a7f3-41ee-8533-21f732d0789c,4,2,1,2273,"Loyal Customer",2,4,2,9.0,"Eco Plus","Female",20,3,2,"1a30e114-31d3-431e-8b5e-6075fa7a386b",4,"Business travel",2,2,5,0,4,3,15,,,,,,,0,0.99
00837029-2a8a-43f4-bb50-4df7f6e5c95a,5,1,5,3374,"Loyal Customer",1,1,3,6.0,"Eco","Female",11,5,4,"dc249876-fd5c-4aa2-b700-bec08af9eaac",1,"Personal Travel",5,5,5,1,1,5,15,,,,,,,1,1.0
008d632f-e7cf-4652-8a4c-56109ba7769a,4,5,5,2147,"Loyal Customer",4,4,4,0.0,"Eco","Male",43,5,4,"fccc295b-b4d8-4dcf-a193-f586c8d1bfd1",4,"Personal Travel",5,5,4,0,1,4,0,,,,,,,0,0.94
0091eea3-e7fe-40a3-9377-e03ab331de42,5,5,4,3011,"Loyal Customer",1,1,3,0.0,"Business","Male",33,5,5,"4d6d855d-81e8-4d9d-bf0f-a370eab1c8b0",1,"Business travel",5,5,5,1,1,4,0,,,,,,,1,1.0
0098dec3-0399-453f-9e91-13831f4d6239,2,2,5,1212,"disloyal Customer",2,4,5,0.0,"Eco","Male",63,2,0,"fa9a17c0-17ed-4948-b79a-e9e75eac8b8e",0,"Personal Travel",2,2,5,0,2,1,0,,,,,,,0,1.0
009bc724-2bcd-444b-9ba0-7ede5c9389bb,4,5,4,2192,"Loyal Customer",4,4,5,0.0,"Business","Female",12,5,4,"7155ba95-ed02-4d95-8856-198ad53637a1",4,"Personal Travel",4,2,4,1,4,4,0,,,,,,,1,0.98
00ab2ddb-78eb-472d-8a70-64e8f76b8233,4,4,4,2317,"Loyal Customer",3,3,3,9.0,"Business","Male",53,4,5,"efbb8f74-9ace-4513-b30e-cdcf642261ae",3,"Business travel",4,2,4,1,3,4,13,,,,,,,1,1.0
00afc81d-e03f-4006-b776-a97f103935b1,4,4,4,2972,"Loyal Customer",4,1,4,48.0,"Business","Male",48,3,3,"542bfa3e-f8b2-41d0-b23c-45e565163c2a",1,"Business travel",4,3,4,0,1,4,10,,,,,,,0,0.98
00ba0518-42ce-4769-a798-21b8347e4dbf,5,5,5,2332,"Loyal Customer",5,5,5,120.0,"Business","Male",39,5,5,"f78f9db9-8c24-40f2-a972-d16b965e3331",5,"Business travel",5,5,5,1,5,5,124,,,,,,,1,1.0
00bd545d-d398-41aa-b5a6-488e8b115f60,5,5,4,2103,"Loyal Customer",1,4,3,0.0,"Eco","Male",7,5,1,"51fb3b62-9ef7-4c1a-8ba7-264086d4b11f",1,"Personal Travel",5,5,4,0,1,5,0,,,,,,,0,1.0
00c0e16b-cfa3-49e2-ae66-8dbabae79018,4,4,3,3511,"Loyal Customer",4,2,4,15.0,"Eco Plus","Male",28,4,4,"fa0045bd-82e4-484b-b6ea-ea22622a70fe",2,"Business travel",2,4,5,1,2,1,1,,,,,,,1,0.77
00c20dce-d5a2-4ae7-ba26-a300b8afb717,5,3,2,2512,"Loyal Customer",4,4,4,43.0,"Business","Male",22,3,4,"79e0c1a2-8121-4100-b9aa-0b3c5d79019c",4,"Business travel",3,3,1,1,4,3,55,,,,,,,1,0.91
00c23883-47f8-4fc6-b379-f887b529ab6c,5,4,5,2832,"Loyal Customer",5,5,5,9.0,"Business","Male",29,4,4,"612d0ff2-1bfb-44a0-96c3-5ad1299abfaa",5,"Business travel",4,4,2,1,5,5,8,,,,,,,1,1.0
00c28269-b246-4a46-8ff0-4d249a5c29af,4,3,3,1719,"disloyal Customer",4,4,3,3.0,"Business","Female",15,3,4,"60c81864-0cf9-4f1c-b6fa-35e46788cb1d",4,"Business travel",3,3,5,1,1,5,0,,,,,,,1,0.95
00c2dd1a-a0b6-4660-84f7-6add6ee9d280,4,5,4,1791,"Loyal Customer",3,3,4,0.0,"Business","Female",44,4,5,"73bb6d24-1e9c-41f7-9398-28d821f37df3",3,"Business travel",4,5,4,1,3,4,0,,,,,,,1,1.0
00c47fc3-7634-432c-8524-c865e0890a11,4,5,4,3912,"Loyal Customer",4,4,3,0.0,"Business","Male",39,4,4,"089a0350-de36-4cdc-8fa6-a3259f43e078",4,"Business travel",4,2,4,1,4,4,5,,,,,,,1,0.99
00c4d934-9fcd-4b5a-a70a-7d2e22615f3c,5,2,3,1670,"disloyal Customer",2,2,3,0.0,"Business","Female",27,2,2,"3817f14f-a5cd-4ce8-8e10-967bc671d6eb",2,"Business travel",2,2,3,0,2,4,0,,,,,,,0,1.0
00c4ed7f-4b88-44fb-a219-98583fb8b745,4,5,4,3031,"Loyal Customer",4,4,5,0.0,"Business","Female",50,4,4,"a78fff6b-18d0-4033-ab24-6936906b7b7e",4,"Business travel",4,4,4,1,4,4,3,,,,,,,1,1.0
00c570d1-93cb-4664-8a30-f725330dd407,3,5,3,3615,"Loyal Customer",1,1,3,118.0,"Business","Male",48,5,4,"37853bb8-10dc-4619-9b70-8f5a6fab50cc",1,"Business travel",3,4,3,1,1,3,130,,,,,,,1,1.0
00c7b430-ced9-49c0-83c0-066c029b3f37,4,3,3,1922,"disloyal Customer",3,3,4,8.0,"Eco","Male",27,3,3,"df0c761a-5905-4fd5-86a6-0f05164f1510",3,"Business travel",3,3,2,0,4,4,2,,,,,,,0,1.0
00cb5646-3683-43b4-9246-011079af1ac6,1,2,1,1526,"Loyal Customer",1,1,3,8.0,"Business","Male",51,4,4,"63c25424-0a43-4796-b72f-fce2a4b8cc6c",1,"Business travel",1,4,1,0,1,1,9,,,,,,,0,0.98
00cdb521-6fd8-4882-b049-41d9ee25829e,4,3,5,1872,"Loyal Customer",3,5,3,3.0,"Eco","Male",68,3,3,"012fac1b-82a6-48ba-a978-c675d715e902",3,"Personal Travel",3,3,2,0,1,4,0,,,,,,,0,1.0
00d2fa81-7c29-4b22-bf47-65802be0aac3,4,1,3,4332,"Loyal Customer",1,1,4,6.0,"Business","Female",31,1,1,"415e9935-45ab-42e7-b7b7-ec0ecca9c5b6",4,"Business travel",1,1,4,0,1,4,0,,,,,,,0,0.97
00d9935f-e07f-4f9c-92ce-91d8b054773f,1,3,1,383,"Loyal Customer",1,1,3,12.0,"Business","Male",42,3,4,"ec9a4822-d1db-48bf-a28a-a9824f74f604",1,"Business travel",1,4,1,0,1,1,15,,,,,,,0,0.98
00dc71d1-34f4-4828-a67e-97272cfb85d2,4,4,4,2650,"disloyal Customer",3,3,1,0.0,"Eco","Female",23,4,3,"47c936f9-4fe0-4ad8-8626-f1c7fe9bcf3a",3,"Business travel",4,4,2,0,4,3,0,,,,,,,0,1.0
00dd780e-04bd-4c0f-b039-a517dce8b427,4,2,4,4380,"Loyal Customer",2,5,3,34.0,"Business","Male",29,2,1,"1a84bc0d-a9d2-4835-9065-6b17f7adc3ab",5,"Business travel",2,2,2,0,5,3,48,,,,,,,0,1.0
00e3aaa3-c003-41be-9b78-b8c156a99ad1,4,5,5,2007,"disloyal Customer",4,0,3,3.0,"Business","Male",23,5,4,"d15fbcde-4ba9-49b1-b505-a20b3e1de6e4",4,"Business travel",5,5,5,1,1,5,11,,,,,,,1,0.93
00e4ff20-7c19-448b-b8be-0d719fc97535,2,5,5,1914,"Loyal Customer",5,3,5,2.0,"Eco","Male",20,5,5,"5895d0d4-1f41-4ab9-a7f8-4665f49f4986",3,"Business travel",5,5,2,1,3,1,0,,,,,,,1,1.0
00eb68c7-a50f-4a72-930b-6d4e93f27574,3,3,1,1522,"disloyal Customer",2,2,3,0.0,"Eco","Male",22,4,2,"79a2e998-d4a6-4272-88c0-d96924ccdb45",2,"Business travel",3,3,2,0,3,4,0,,,,,,,0,1.0
00f0ca60-88e7-4e0d-b05e-034f410c279d,4,4,3,221,"Loyal Customer",4,2,4,0.0,"Business","Male",65,4,4,"a9f3ff21-dd44-4f06-95ad-5dfa4d024bb4",4,"Business travel",3,2,3,0,2,3,5,,,,,,,0,0.9
00f0dfc8-e6dd-4f20-89d2-955d3cc5c65f,3,5,3,544,"Loyal Customer",1,1,4,0.0,"Business","Male",54,5,5,"547a6648-26c9-4cb4-8c9f-fb338711aa71",1,"Business travel",3,2,4,1,1,3,0,,,,,,,1,1.0
00f1a6e1-bf15-4703-a0f3-987aee58de09,4,2,4,1841,"Loyal Customer",4,4,3,0.0,"Business","Male",38,1,5,"bb9218cf-80ac-4a6d-bf5a-4719ad5c0aa7",4,"Business travel",4,2,4,1,4,4,1,,,,,,,1,0.98
00f2ca70-5eb1-4775-b81a-4328ea025245,3,1,3,1032,"Loyal Customer",3,4,4,20.0,"Eco","Female",51,3,3,"8e2e0cfa-4303-4d7c-9e2b-1a9a90c6f77c",2,"Business travel",3,1,3,0,4,3,3,,,,,,,0,0.99
00f2f20a-83cb-47e2-aea1-478d065c0c8d,3,3,3,2597,"Loyal Customer",5,5,5,26.0,"Business","Female",41,5,4,"9c214307-ec1b-4fd7-b8f8-7056071b75fa",5,"Business travel",3,5,3,1,5,3,11,,,,,,,1,1.0
00f306d2-93ee-4502-8c75-939db483fb33,4,5,4,1465,"Loyal Customer",4,4,5,0.0,"Eco","Female",12,4,5,"e6dbdd50-7705-443b-a9c7-302f28ad3bab",4,"Personal Travel",4,4,4,1,4,4,1,,,,,,,1,0.97
00f33566-0352-44fc-853a-ac3cf59c0d61,4,5,4,2505,"disloyal Customer",3,4,3,2.0,"Eco","Female",20,5,4,"3121b07e-8b7f-4096-8cbe-f1772e977253",4,"Business travel",5,5,2,0,3,5,0,,,,,,,0,0.98
00f55feb-87a7-4b0e-9fc7-59a96daab09d,5,5,5,2647,"Loyal Customer",3,3,4,0.0,"Business","Female",42,5,4,"e7c4d056-3c13-45a6-a57e-1850a4ad3fdc",2,"Business travel",5,4,5,1,3,5,0,,,,,,,1,1.0
00f5e737-fd75-4941-ae76-2b4f88a11c8e,3,1,3,2008,"Loyal Customer",3,0,5,0.0,"Eco","Male",23,1,3,"b9256821-d2d3-4dd4-8fd4-b261aae4888e",3,"Personal Travel",1,1,5,0,2,5,1,,,,,,,0,0.99
00f69f0f-7b1d-4943-8b14-6e2bc7d7f339,2,2,4,854,"Loyal Customer",2,1,2,30.0,"Eco","Male",69,2,2,"c378cd7a-e661-46e5-b6fa-b23d4544a1a6",2,"Personal Travel",2,2,1,0,3,3,46,,,,,,,0,0.99
00fb1dce-c561-460e-a05e-7da92167093a,5,5,3,4994,"Loyal Customer",5,5,4,0.0,"Business","Male",21,5,5,"c756dc3e-5370-4560-b390-2250ebdcaee5",5,"Business travel",5,5,4,1,5,4,0,,,,,,,1,1.0
00fce9d7-3afd-4d92-a021-086e91d718f0,4,5,1,999,"Loyal Customer",4,4,3,0.0,"Eco Plus","Female",26,4,5,"9c737a5d-2fd6-43b4-abd2-ecceb9513ba1",4,"Business travel",5,5,2,1,4,1,0,,,,,,,1,0.99
01024325-3ab2-4ecd-b047-c3018a318950,5,1,3,1783,"disloyal Customer",1,1,4,10.0,"Business","Female",34,1,1,"80a49e4a-f3c5-4f3e-9a47-687e09eeefca",1,"Business travel",1,1,3,0,2,4,0,,,,,,,0,1.0
0104037a-62bb-468c-9e79-6b07f8076235,4,5,4,1837,"Loyal Customer",4,5,5,7.0,"Eco","Female",36,3,3,"821d5cf6-cf56-4b09-b12f-87d7c30a883c",3,"Personal Travel",5,5,3,0,1,5,9,,,,,,,0,0.93
010416d4-c489-4b47-8b03-60736dedc7f1,3,4,4,2117,"Loyal Customer",2,4,2,0.0,"Eco","Male",25,4,2,"320a4f82-5cca-4ae3-9ddf-46fe5fde4e48",2,"Personal Travel",4,4,5,0,3,4,0,,,,,,,0,1.0
01109ae9-1ff8-4013-8d0c-d0f3b661f3ce,4,4,5,1724,"Loyal Customer",5,5,2,8.0,"Business","Female",54,2,1,"e132849e-cfc7-473a-9ca7-312bb91236f1",5,"Business travel",5,4,5,1,5,5,8,,,,,,,1,0.99
0111277a-0692-44e6-bee1-bf49fd7ebdbd,4,1,4,3395,"Loyal Customer",4,4,3,0.0,"Business","Male",36,5,2,"eaecc4dc-c9dc-41dc-acc7-c79f0c7c6365",4,"Business travel",4,1,4,1,4,4,0,,,,,,,1,0.97
0112b8d8-99f6-4ea1-b064-0ed14ee4b446,4,4,4,2373,"disloyal Customer",4,4,4,7.0,"Business","Male",27,4,4,"aea79402-59c5-4a5e-b1aa-9e7ff2abbf28",4,"Business travel",4,4,5,1,3,5,2,,,,,,,1,0.83
0115efd7-f660-43a1-8c63-939305034162,4,5,4,1089,"Loyal Customer",1,1,4,0.0,"Business","Male",59,5,4,"c3166211-9d2b-47d1-803f-142cf73f20a3",1,"Business travel",4,5,5,1,1,4,0,,,,,,,1,1.0
0116b287-c72c-4fd5-92fe-fcd184b55336,4,2,4,3524,"Loyal Customer",4,4,3,22.0,"Business","Female",47,1,3,"a401ede4-2460-4f80-b900-9041370b371e",4,"Business travel",4,1,4,1,4,4,9,,,,,,,0,0.68
011b5a21-1574-44df-9d06-42fb12f97816,4,2,1,1225,"disloyal Customer",1,1,1,43.0,"Business","Female",33,2,1,"c89a1329-ea3d-4f8b-841a-f054b2e04e00",1,"Business travel",2,2,3,0,4,4,8,,,,,,,0,1.0
011e0a9d-5e4f-4acd-ab15-fc8588c46976,3,3,3,998,"Loyal Customer",4,4,4,14.0,"Business","Male",50,3,4,"8d3e4248-e351-444f-92d6-12698b8fd54e",5,"Business travel",3,3,5,1,4,3,10,,,,,,,0,0.54
011e786f-a2b2-4514-9da4-78cee52f8a2d,4,5,4,423,"Loyal Customer",3,3,5,1.0,"Business","Female",53,5,4,"811b5ca8-0d21-498e-8f27-9bd27aadb97f",1,"Business travel",4,2,4,1,3,4,0,,,,,,,1,1.0
0124ae29-77f6-4c2b-827f-abc1dc94ad76,4,1,4,1611,"disloyal Customer",1,4,1,0.0,"Eco","Male",36,1,1,"1cffd848-b6b4-4757-8b6c-556e4d47a7f7",1,"Business travel",1,1,2,0,3,4,0,,,,,,,0,1.0
0124e96e-6eac-4033-bacd-e8649bb05881,4,5,4,1146,"Loyal Customer",3,4,4,0.0,"Business","Female",41,5,5,"e474600f-fadd-40ab-a8f0-a22b99a48651",3,"Business travel",4,2,4,1,3,4,0,,,,,,,1,1.0
0126259e-1723-4149-bbec-7f363c5c8c08,2,3,3,1746,"Loyal Customer",3,1,4,0.0,"Eco","Female",38,3,3,"41e305e7-f8e0-4201-a0cb-24bbf0df564a",1,"Business travel",3,3,5,0,1,3,0,,,,,,,0,0.95
0127e2dc-5829-49f2-9c51-67f6bb6de651,3,2,3,418,"Loyal Customer",3,4,2,6.0,"Business","Female",34,2,3,"c1020c32-a61e-4d3b-9cf2-6a94576817a0",4,"Business travel",3,5,3,0,4,3,0,,,,,,,0,0.98
012c09be-29cb-4804-b1d6-2b5be6dad858,4,4,2,5091,"disloyal Customer",3,3,4,0.0,"Business","Female",44,4,4,"1f5af7a5-53c5-4f29-b96b-45a6e27b1216",3,"Business travel",4,3,3,0,2,4,7,,,,,,,0,0.92
012ee33a-f04b-48de-ba4f-e625e52a58fe,3,5,2,2404,"disloyal Customer",3,1,1,34.0,"Business","Male",24,5,3,"2a851cc0-665e-4c3a-919a-e0eef129b650",3,"Business travel",5,5,1,0,3,3,36,,,,,,,0,1.0
0131889f-3be2-4d43-8b51-0c8ffa9348d2,5,3,5,1766,"Loyal Customer",2,4,4,0.0,"Eco Plus","Male",50,3,2,"ab448414-590d-423b-9e1c-a9cccddd567a",2,"Personal Travel",3,3,3,0,3,4,0,,,,,,,0,0.99
01322f39-e188-43c6-b63f-f2a293b4a2f7,4,1,3,3292,"Loyal Customer",3,4,1,445.0,"Eco","Male",9,1,1,"8ee8ff24-7dcb-4db2-b2b7-58c4b899d2e2",3,"Personal Travel",1,3,4,0,3,2,448,,,,,,,0,1.0
0132ba32-8ffd-49cc-8797-d18310a282c3,4,3,5,2238,"disloyal Customer",4,0,5,0.0,"Business","Female",21,3,4,"2bd62980-3a97-433a-9f1c-8de567949bdf",4,"Business travel",3,3,2,1,5,5,0,,,,,,,1,0.98
01365184-504c-4bf1-8e22-797de9b15daf,5,5,3,1820,"disloyal Customer",5,0,4,23.0,"Eco","Male",26,5,5,"5270b881-4004-4e61-9e2a-513488473d66",5,"Business travel",5,5,1,1,3,5,21,,,,,,,1,1.0
01366259-d320-416f-ba17-a352afe60893,4,3,4,3469,"Loyal Customer",5,5,3,0.0,"Eco","Female",7,5,4,"d77f9d90-3263-4ccf-9e72-342d838759e4",5,"Personal Travel",4,5,4,1,5,4,0,,,,,,,1,1.0
0138de03-d60b-407c-bd1b-93ff1ba33aa4,4,2,4,1684,"Loyal Customer",4,4,3,0.0,"Business","Female",30,2,2,"80c72a30-3149-425e-a170-c87087054363",3,"Business travel",2,2,3,1,4,4,0,,,,,,,1,0.82
013980ae-115d-413a-9d87-399a15110a2e,2,1,2,3699,"Loyal Customer",2,1,3,0.0,"Business","Female",34,3,4,"96a1d0a9-c59c-4764-94a8-730d9439a441",1,"Business travel",2,3,2,0,1,2,5,,,,,,,0,0.97
0142aabe-70d2-4ec7-b9ba-2582b0a14066,3,4,3,3975,"Loyal Customer",5,5,2,0.0,"Business","Male",52,4,3,"514824bb-2baa-4793-b841-048b9a67f385",5,"Business travel",3,4,3,1,5,3,0,,,,,,,1,0.99
0145c857-4b1b-4970-b91c-984aa73d8ad2,5,5,5,735,"Loyal Customer",5,5,5,0.0,"Business","Male",56,4,4,"82a97bc2-01e3-466d-8999-df840c499c60",5,"Business travel",5,2,5,1,5,5,0,,,,,,,1,1.0
01468592-3927-4320-a1e3-ac1e6eb8985d,3,2,1,3178,"Loyal Customer",2,1,1,23.0,"Business","Male",24,2,2,"21e6b181-05cf-4f25-96f5-c8ac36329deb",1,"Business travel",2,2,3,0,1,3,25,,,,,,,0,1.0
01538e2f-105a-4e3b-bf14-0139fea3e2a5,4,2,3,1620,"disloyal Customer",3,2,4,0.0,"Business","Male",26,2,2,"f36a2c9d-7ad1-48bf-9c7f-446544ea4099",2,"Business travel",2,2,5,0,1,5,0,,,,,,,0,0.99
0153d41f-9ffe-4a7f-bba8-06b6945e4a71,4,4,4,2260,"Loyal Customer",3,5,4,0.0,"Eco","Male",59,2,4,"37343062-83ca-4bc9-a6f1-0b6c152d0849",4,"Personal Travel",4,4,2,0,4,4,1,,,,,,,0,0.99
